,TM_manager_name,tenure1_overperformance,tenure1_above_expectation,tenure2_overperformance,tenure2_above_expectation,tenure3_overperformance,tenure3_above_expectation,tenure4_overperformance,tenure4_above_expectation,tenure5_overperformance,tenure5_above_expectation
286,Jean-Guy Wallemme,1,0.01453538240271901,,,,,,,,
287,Laurent Roussey,0,-0.1015961180766527,,,,,,,,
288,Heiko Herrlich,0,-0.24642285697904265,1.0,0.046212150464769675,,,,,,
289,Gustavo Poyet,0,-0.0724704406929284,1.0,0.35339892260254224,,,,,,
290,Brian Laws,0,-0.3980407530510599,,,,,,,,
291,Owen Coyle,1,0.05604062000540766,0.0,-0.055893277643744854,,,,,,
292,Nigel Adkins,0,-0.0014260179949443508,,,,,,,,
293,Mané,0,-0.0008024837557782938,,,,,,,,
294,Paul Ince,0,-0.43237625770916743,,,,,,,,
295,Roberto Martínez,1,0.025656252088330334,0.0,-0.038014703166282526,,,,,,
296,Paulo Duarte,0,-0.511789068969034,,,,,,,,
297,Ricky Sbragia,0,-0.3390621411912943,,,,,,,,
298,Markus Babbel,1,0.17905236208020492,1.0,0.02961557546442317,0.0,-0.2973748432491148,,,,
299,Laurent Blanc,1,0.18144797417208802,0.0,-0.0007508783449634571,,,,,,
300,Domenico Di Carlo,0,-0.19351093289384147,1.0,0.16773783644469553,0.0,-0.39469498162600547,1.0,0.12008739823784653,0.0,-0.2605025115305327
301,Markus Gisdol,0,-0.037405407709474314,0.0,-0.15406701142096124,,,,,,
302,Adi Hütter,1,0.32392836306330275,,,,,,,,
303,Alain Casanova,1,0.018965896109243596,0.0,-0.05793017901874742,,,,,,
304,Christophe Galtier,1,0.15755538800705882,1.0,0.12141292173709561,,,,,,
