country,party_id,party_abbrev,party_name_english,previous_election_date,previous_election_source,previous_election_share,previous_election_notes,previous_election_total_votes,previous_election_party_votes,latest_election,latest_election_source,latest_election_share,latest_election_notes,last_election_total_votes,last_election_party_votes
Italy,844,Fdl,"Brothers of Italy	Fratelli d’Italia",2013,http://www.parlgov.org/explore/ITA/election/2013-02-25/,2,,34002524,680050,2018,http://www.parlgov.org/explore/ITA/election/2018-03-04/,4.4,,32841025,1445005
Italy,845,M5S,"Five Star Movement	MoVimento Cinque Stelle",2013,http://www.parlgov.org/explore/ITA/election/2013-02-25/,25.9,,34002524,8806654,2018,http://www.parlgov.org/explore/ITA/election/2018-03-04/,33.3,,32841025,10936061
Italy,846,SC,"Civic Choice	Scelta Civica",2013,http://www.parlgov.org/explore/ITA/election/2013-02-25/,8.8,,34002524,2992222,2018,http://www.parlgov.org/explore/ITA/election/2018-03-04/,0,,32841025,0
Italy,848,NCD,"New Centre-Right	Nuovo Centrodestra",2013,http://www.parlgov.org/explore/ITA/election/2013-02-25/,0,,34002524,0,2018,http://www.parlgov.org/explore/ITA/election/2018-03-04/,0,,32841025,0
Italy,850,SI,"Sinistra Italiana	Italian Left",2013,http://www.parlgov.org/explore/ITA/election/2013-02-25/,0,,34002524,0,2018,http://www.parlgov.org/explore/ITA/election/2018-03-04/,3.4,Coalition LeU,32841025,1116595
Italy,851,MDP,"Progressista	Democratic and Progressive Movement",2013,http://www.parlgov.org/explore/ITA/election/2013-02-25/,0,,34002524,0,2018,http://www.parlgov.org/explore/ITA/election/2018-03-04/,0,,32841025,0
Italy,852,AP,"Alternative Popolare	Popular Alternative",2013,http://www.parlgov.org/explore/ITA/election/2013-02-25/,0,,34002524,0,2018,http://www.parlgov.org/explore/ITA/election/2018-03-04/,0,,32841025,0
Netherlands,1001,CDA,"Christian Democratic Appeal	Christen-Democratisch Appel",2012,http://www.parlgov.org/explore/NLD/election/2012-09-12/,8.5,,9424235,801060,2017,http://www.parlgov.org/explore/NLD/election/2017-03-15/,12.4,,10516041,1303989
Netherlands,1002,PvdA,"Labour Party	Partij van de Arbeid",2012,http://www.parlgov.org/explore/NLD/election/2012-09-12/,24.8,,9424235,2337210,2017,http://www.parlgov.org/explore/NLD/election/2017-03-15/,5.7,,10516041,599414
Netherlands,1003,VVD,"People’s Party for Freedom and Democracy	Volkspartij voor Vrijheid en Demokratie",2012,http://www.parlgov.org/explore/NLD/election/2012-09-12/,26.6,,9424235,2506847,2017,http://www.parlgov.org/explore/NLD/election/2017-03-15/,21.3,,10516041,2239917
Netherlands,1004,D66,"Democrats 66	Democraten 66",2012,http://www.parlgov.org/explore/NLD/election/2012-09-12/,8,,9424235,753939,2017,http://www.parlgov.org/explore/NLD/election/2017-03-15/,12.2,,10516041,1282957
Netherlands,1005,GL,"GreenLeft	GroenLinks",2012,http://www.parlgov.org/explore/NLD/election/2012-09-12/,2.3,,9424235,216757,2017,http://www.parlgov.org/explore/NLD/election/2017-03-15/,9.1,,10516041,956960
Netherlands,1006,SGP,"Political Reformed Party	Staatkundig Gereformeerde Partij",2012,http://www.parlgov.org/explore/NLD/election/2012-09-12/,2.1,,9424235,197909,2017,http://www.parlgov.org/explore/NLD/election/2017-03-15/,2.1,,10516041,220837
Netherlands,1014,SP,"Socialist Party	Socialistische Partij",2012,http://www.parlgov.org/explore/NLD/election/2012-09-12/,9.7,,9424235,914151,2017,http://www.parlgov.org/explore/NLD/election/2017-03-15/,9.1,,10516041,956960
Netherlands,1016,CU,"ChristianUnion	ChristenUnie",2012,http://www.parlgov.org/explore/NLD/election/2012-09-12/,3.1,,9424235,292151,2017,http://www.parlgov.org/explore/NLD/election/2017-03-15/,3.4,,10516041,357545
Netherlands,1017,PVV,"Party for Freedom	Partij voor de Vrijheid",2012,http://www.parlgov.org/explore/NLD/election/2012-09-12/,10.1,,9424235,951848,2017,http://www.parlgov.org/explore/NLD/election/2017-03-15/,13.1,,10516041,1377601
Netherlands,1018,PvdD,"Party for the Animals	Partij voor de Dieren",2012,http://www.parlgov.org/explore/NLD/election/2012-09-12/,1.9,,9424235,179060,2017,http://www.parlgov.org/explore/NLD/election/2017-03-15/,3.2,,10516041,336513
Netherlands,1020,50PLUS,"50PLUS	50PLUS",2012,http://www.parlgov.org/explore/NLD/election/2012-09-12/,1.9,,9424235,179060,2017,http://www.parlgov.org/explore/NLD/election/2017-03-15/,3.1,,10516041,325997
Netherlands,1050,Denk,"Denk	Think/Equality",2012,http://www.parlgov.org/explore/NLD/election/2012-09-12/,0,,9424235,0,2017,http://www.parlgov.org/explore/NLD/election/2017-03-15/,2.1,,10516041,220837
Netherlands,1051,FvD,"Forum voor Democratie	Forum for Democracy",2012,http://www.parlgov.org/explore/NLD/election/2012-09-12/,0,,9424235,0,2017,http://www.parlgov.org/explore/NLD/election/2017-03-15/,1.8,,10516041,189289
Britain,1101,CONS,"Conservative Party	Conservative Party",2015,http://www.parlgov.org/explore/GBR/election/2015-05-07/,36.9,,30691680,11325230,2017,http://www.parlgov.org/explore/GBR/election/2017-06-08/,42.5,,32204124,13686753
Britain,1102,LAB,"Labour Party	Labour Party",2015,http://www.parlgov.org/explore/GBR/election/2015-05-07/,30.5,,30691680,9360962,2017,http://www.parlgov.org/explore/GBR/election/2017-06-08/,40,,32204124,12881650
Britain,1104,LIBDEM,"Liberal Democratic Party	Liberal Democratic Party",2015,http://www.parlgov.org/explore/GBR/election/2015-05-07/,7.9,,30691680,2424643,2017,http://www.parlgov.org/explore/GBR/election/2017-06-08/,7.4,,32204124,2383105
Britain,1105,SNP,"Scottish National Party	Scottish National Party",2015,http://www.parlgov.org/explore/GBR/election/2015-05-07/,4.7,,30691680,1442509,2017,http://www.parlgov.org/explore/GBR/election/2017-06-08/,3,,32204124,966124
Britain,1106,PLAID,"Party of Wales	Plaid Cymru",2015,http://www.parlgov.org/explore/GBR/election/2015-05-07/,0.6,,30691680,184150,2017,http://www.parlgov.org/explore/GBR/election/2017-06-08/,0.5,,32204124,161021
Britain,1107,GREEN,"Green Party	Green Party",2015,http://www.parlgov.org/explore/GBR/election/2015-05-07/,3.8,,30691680,1166284,2017,http://www.parlgov.org/explore/GBR/election/2017-06-08/,1.6,,32204124,515266
