warno,statenum,stateabb,warname,pbdeadlow,pbdeadhigh,pbdeadbest,tbdeadlow,tbdeadhigh,tbdeadbest,yrbeg1,monbeg1,daybeg1,yrend1,monend1,dayend1,yrbeg2,monbeg2,daybeg2,yrend2,monend2,dayend2,duration,deaths,outcome,initiate,sysstat,prwarpop,prwararm,westhem,europe,africa,mideast,asia,oceania,version,censubsy,subsysea,majpowin,majpowea,edition
148,652,SYR,Palestine,1000,1000,1000,21111,21111,21111,1948,5,15,1948,7,18,1948,10,22,1948,10,31,75,1000,2,1,1,3268,8,0,0,0,1,0,0,3,0,0,0,0,0
148,660,LEB,Palestine,500,500,500,21111,21111,21111,1948,5,15,1948,7,18,1948,10,22,1948,10,31,75,500,2,1,1,1391,3,0,0,0,1,0,0,3,0,0,0,0,0
148,663,JOR,Palestine,1000,1000,1000,21111,21111,21111,1948,5,15,1948,7,18,1948,10,22,1948,10,31,75,1000,2,1,1,1163,8,0,0,0,1,0,0,3,0,0,0,0,0
148,666,ISR,Palestine,6074,6074,6074,21111,21111,21111,1948,5,15,1948,7,18,1948,10,22,1949,1,7,143,3000,1,0,1,717,85,0,0,0,1,0,0,3,0,0,0,0,0
151,710,CHN,Korean,401000,401000,401000,1004811,1500000,1254811,1950,10,27,1953,7,27,-999,-999,-999,-999,-999,-999,1005,422612,4,0,4,571889,4000,0,0,0,0,1,0,3,0,0,1,1,0
151,731,PRK,Korean,215000,710189,465000,1004811,1500000,1254811,1950,6,24,1953,7,27,-999,-999,-999,-999,-999,-999,1130,316579,4,1,1,9470,120,0,0,0,0,1,0,3,0,0,1,1,0
151,732,ROK,Korean,357248,357248,357248,1004811,1500000,1254811,1950,6,24,1953,7,27,-999,-999,-999,-999,-999,-999,1130,113248,3,0,1,20356,109,0,0,0,0,1,0,3,0,0,1,1,0
151,800,THI,Korean,136,136,136,1004811,1500000,1254811,1951,1,20,1953,7,27,-999,-999,-999,-999,-999,-999,920,114,3,0,1,20224,44,0,0,0,0,1,0,3,0,0,1,1,0
151,840,PHI,Korean,128,128,128,1004811,1500000,1254811,1950,9,16,1953,7,27,-999,-999,-999,-999,-999,-999,1046,92,3,0,1,20275,29,0,0,0,0,1,0,3,0,0,1,1,0
151,640,TUR,Korean,889,889,889,1004811,1500000,1254811,1950,10,18,1953,7,27,-999,-999,-999,-999,-999,-999,1014,717,3,0,1,20770,684,0,0,0,0,1,0,3,0,0,1,1,0
151,900,AUL,Korean,272,272,272,1004811,1500000,1254811,1950,12,10,1953,7,27,-999,-999,-999,-999,-999,-999,961,281,3,0,1,8179,38,0,0,0,0,1,0,3,0,0,1,1,0
151,350,GRC,Korean,194,194,194,1004811,1500000,1254811,1951,1,20,1953,7,27,-999,-999,-999,-999,-999,-999,920,169,3,0,1,7646,160,0,0,0,0,1,0,3,0,0,1,1,0
