ID,Year,WarNo,WarName,bdeadlow,bdeadhigh,bdeadbest,yrlydata,YrBeg1,MonBeg1,DayBeg1,YrEnd1,MonEnd1,DayEnd1,YrBeg2,MonBeg2,DayBeg2,YrEnd2,MonEnd2,DayEnd2,Duration,Deaths,CenSubSy,SubSysEa,MajPowIn,MajPowEa,WestHem,Europe,Africa,MidEast,Asia,Oceania,Edition,Version
1571956,1956,157,Sinai,2142,2142,2142,1,1956,10,29,1956,11,6,-999,-999,-999,-999,-999,-999,9,3221,0,0,1,0,0,0,0,1,0,0,0,3
1601962,1962,160,Assam,2105,2105,2105,1,1962,10,20,1962,11,22,-999,-999,-999,-999,-999,-999,34,1853,0,0,1,0,0,0,0,0,1,0,0,3
1631965,1965,163,Vietnamese,75244,75244,75244,1,1965,2,7,1975,4,30,-999,-999,-999,-999,-999,-999,3735,1021442,0,0,1,0,0,0,0,0,1,0,1,3
1631966,1966,163,Vietnamese,113131,113131,113131,1,1965,2,7,1975,4,30,-999,-999,-999,-999,-999,-999,3735,1021442,0,0,1,0,0,0,0,0,1,0,1,3
1631967,1967,163,Vietnamese,160503,160503,160503,1,1965,2,7,1975,4,30,-999,-999,-999,-999,-999,-999,3735,1021442,0,0,1,0,0,0,0,0,1,0,1,3
1631968,1968,163,Vietnamese,322232,322232,322232,1,1965,2,7,1975,4,30,-999,-999,-999,-999,-999,-999,3735,1021442,0,0,1,0,0,0,0,0,1,0,1,3
1631969,1969,163,Vietnamese,262367,262367,262367,1,1965,2,7,1975,4,30,-999,-999,-999,-999,-999,-999,3735,1021442,0,0,1,0,0,0,0,0,1,0,1,3
1631970,1970,163,Vietnamese,202879,202879,202879,1,1965,2,7,1975,4,30,-999,-999,-999,-999,-999,-999,3735,1021442,0,0,1,0,0,0,0,0,1,0,1,3
1631971,1971,163,Vietnamese,187692,187692,187692,1,1965,2,7,1975,4,30,-999,-999,-999,-999,-999,-999,3735,1021442,0,0,1,0,0,0,0,0,1,0,1,3
1631972,1972,163,Vietnamese,282703,282703,282703,1,1965,2,7,1975,4,30,-999,-999,-999,-999,-999,-999,3735,1021442,0,0,1,0,0,0,0,0,1,0,1,3
1631973,1973,163,Vietnamese,127181,127181,127181,1,1965,2,7,1975,4,30,-999,-999,-999,-999,-999,-999,3735,1021442,0,0,1,0,0,0,0,0,1,0,1,3
1631974,1974,163,Vietnamese,172664,172664,172664,1,1965,2,7,1975,4,30,-999,-999,-999,-999,-999,-999,3735,1021442,0,0,1,0,0,0,0,0,1,0,1,3
1631975,1975,163,Vietnamese,21379,21379,21379,1,1965,2,7,1975,4,30,-999,-999,-999,-999,-999,-999,3735,1021442,0,0,1,0,0,0,0,0,1,0,1,3
1661965,1965,166,Second Kashmir,5000,7000,6000,1,1965,8,5,1965,9,23,-999,-999,-999,-999,-999,-999,50,7061,0,0,0,0,0,0,0,0,1,0,0,3
1691967,1967,169,Six Day,5413,5413,5413,1,1967,6,5,1967,6,10,-999,-999,-999,-999,-999,-999,6,19600,0,0,0,0,0,0,0,1,0,0,1,3
1721969,1969,172,Israeli-Egyptian,2630,2630,2630,0,1969,3,6,1970,8,7,-999,-999,-999,-999,-999,-999,520,5368,0,0,0,0,0,0,0,1,0,0,1,3
1721970,1970,172,Israeli-Egyptian,2630,2630,2630,0,1969,3,6,1970,8,7,-999,-999,-999,-999,-999,-999,520,5368,0,0,0,0,0,0,0,1,0,0,1,3
1751969,1969,175,Football,1900,2107,2107,1,1969,7,14,1969,7,18,-999,-999,-999,-999,-999,-999,5,1900,0,0,0,0,1,0,0,0,0,0,1,3
1781971,1971,178,Bangladesh,11223,11223,11223,1,1971,12,3,1971,12,17,-999,-999,-999,-999,-999,-999,15,11000,0,0,0,0,0,0,0,0,1,0,1,3
1811973,1973,181,Yom Kippur,11084,11084,11084,1,1973,10,6,1973,10,24,-999,-999,-999,-999,-999,-999,19,16401,0,0,0,0,0,0,0,1,0,0,1,3
1841974,1974,184,Turco-Cypriot,5000,5800,5800,1,1974,7,20,1974,7,29,1974,8,14,1974,8,16,13,1500,0,0,0,0,0,1,0,0,0,0,1,3
1871975,1975,187,Vietnamese-Cambodian,330,330,330,1,1975,5,1,1979,1,7,-999,-999,-999,-999,-999,-999,1348,8000,0,0,0,0,0,0,0,0,1,0,3,3
1871976,1976,187,Vietnamese-Cambodian,330,330,330,1,1975,5,1,1979,1,7,-999,-999,-999,-999,-999,-999,1348,8000,0,0,0,0,0,0,0,0,1,0,3,3
1871977,1977,187,Vietnamese-Cambodian,1830,1830,1830,1,1975,5,1,1979,1,7,-999,-999,-999,-999,-999,-999,1348,8000,0,0,0,0,0,0,0,0,1,0,3,3
1871978,1978,187,Vietnamese-Cambodian,-999,-999,-999,2,1975,5,1,1979,1,7,-999,-999,-999,-999,-999,-999,1348,8000,0,0,0,0,0,0,0,0,1,0,3,3
1871979,1979,187,Vietnamese-Cambodian,-999,-999,-999,2,1975,5,1,1979,1,7,-999,-999,-999,-999,-999,-999,1348,8000,0,0,0,0,0,0,0,0,1,0,3,3
1891977,1977,189,Ethiopian-Somalian,3000,3000,3000,2,1977,8,1,1978,3,14,-999,-999,-999,-999,-999,-999,226,6000,0,0,0,0,0,0,1,0,0,0,2,3
1891978,1978,189,Ethiopian-Somalian,3000,3000,3000,2,1977,8,1,1978,3,14,-999,-999,-999,-999,-999,-999,226,6000,0,0,0,0,0,0,1,0,0,0,2,3
1901978,1978,190,Ugandan-Tanzanian,950,950,950,1,1978,10,30,1979,4,12,-999,-999,-999,-999,-999,-999,165,3000,0,0,0,0,0,0,1,0,0,0,1,3
1901979,1979,190,Ugandan-Tanzanian,2897,2897,2897,1,1978,10,30,1979,4,12,-999,-999,-999,-999,-999,-999,165,3000,0,0,0,0,0,0,1,0,0,0,1,3
1931979,1979,193,Sino-Vietnamese,30000,55000,45000,1,1979,2,17,1979,3,10,-999,-999,-999,-999,-999,-999,22,21000,0,0,1,0,0,0,0,0,1,0,1,3
1991980,1980,199,Iran-Iraq,35600,35600,35600,1,1980,9,22,1988,8,20,-999,-999,-999,-999,-999,-999,2890,1250000,0,0,0,0,0,0,0,1,0,0,1,3
1991981,1981,199,Iran-Iraq,54800,121466,95550,1,1980,9,22,1988,8,20,-999,-999,-999,-999,-999,-999,2890,1250000,0,0,0,0,0,0,0,1,0,0,1,3
1991982,1982,199,Iran-Iraq,54800,121467,95550,1,1980,9,22,1988,8,20,-999,-999,-999,-999,-999,-999,2890,1250000,0,0,0,0,0,0,0,1,0,0,1,3
1991983,1983,199,Iran-Iraq,54800,121467,95550,1,1980,9,22,1988,8,20,-999,-999,-999,-999,-999,-999,2890,1250000,0,0,0,0,0,0,0,1,0,0,1,3
1991984,1984,199,Iran-Iraq,40000,80000,64450,1,1980,9,22,1988,8,20,-999,-999,-999,-999,-999,-999,2890,1250000,0,0,0,0,0,0,0,1,0,0,1,3
1991985,1985,199,Iran-Iraq,40000,80000,64450,1,1980,9,22,1988,8,20,-999,-999,-999,-999,-999,-999,2890,1250000,0,0,0,0,0,0,0,1,0,0,1,3
1991986,1986,199,Iran-Iraq,40000,80000,64450,1,1980,9,22,1988,8,20,-999,-999,-999,-999,-999,-999,2890,1250000,0,0,0,0,0,0,0,1,0,0,1,3
1991987,1987,199,Iran-Iraq,40000,80000,64450,1,1980,9,22,1988,8,20,-999,-999,-999,-999,-999,-999,2890,1250000,0,0,0,0,0,0,0,1,0,0,1,3
1991988,1988,199,Iran-Iraq,40000,80000,64450,1,1980,9,22,1988,8,20,-999,-999,-999,-999,-999,-999,2890,1250000,0,0,0,0,0,0,0,1,0,0,1,3
2021982,1982,202,Falklands,964,964,964,1,1982,3,25,1982,6,20,-999,-999,-999,-999,-999,-999,88,910,0,0,1,0,1,0,0,0,0,0,2,3
2051982,1982,205,Israel-Syria (Lebanon),1235,1235,1235,2,1982,4,21,1982,9,5,-999,-999,-999,-999,-999,-999,138,1235,0,0,0,0,0,0,0,1,0,0,2,3
2081987,1987,208,Sino-Vietnamese,450,4000,3000,1,1987,1,5,1987,2,6,-999,-999,-999,-999,-999,-999,33,4000,0,0,1,0,0,0,0,0,1,0,2,3
2111990,1990,211,Gulf War,700,1026,926,1,1990,8,2,1991,4,11,-999,-999,-999,-999,-999,-999,253,26343,0,0,1,0,0,0,0,1,0,0,3,3
2111991,1991,211,Gulf War,28245,43245,28245,1,1990,8,2,1991,4,11,-999,-999,-999,-999,-999,-999,253,26343,0,0,1,0,0,0,0,1,0,0,3,3
